PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR,PLAYER_NAME,HEIGHT_INCHES,WEIGHT_LBS,IS_UNDRAFTED
77074,Hudson,Lou,lou-hudson,1610612737,hawks,0,Atlanta,Hawks,ATL,23,F,Minnesota,USA,1966.0,1.0,4.0,,20.2,4.4,2.7,Career,1966,1978,Lou Hudson,77.0,210.0,False
1607,Hudson,Troy,troy-hudson,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,16,G,Southern Illinois,USA,,,,,9.0,1.7,3.4,Career,1997,2007,Troy Hudson,73.0,178.0,True
1626273,Huertas,Marcelo,marcelo-huertas,1610612747,lakers,0,Los Angeles,Lakers,LAL,9,G,FC Barcelona,Brazil,,,,,3.9,1.5,3.1,Career,2015,2016,Marcelo Huertas,75.0,200.0,True
1628989,Huerter,Kevin,kevin-huerter,1610612741,bulls,0,Chicago,Bulls,CHI,13,G-F,Maryland,USA,2018.0,1.0,19.0,1.0,9.9,3.0,2.3,Season,2018,2024,Kevin Huerter,79.0,198.0,False
203962,Huestis,Josh,josh-huestis,1610612760,thunder,0,Oklahoma City,Thunder,OKC,34,G,Stanford,USA,2014.0,1.0,29.0,,2.5,2.4,0.3,Career,2015,2017,Josh Huestis,79.0,230.0,False
1630643,Huff,Jay,jay-huff,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,30,C,Virginia,USA,,,,1.0,6.9,2.0,0.6,Season,2021,2024,Jay Huff,85.0,240.0,True
1572,Huffman,Nate,nate-huffman,1610612761,raptors,0,Toronto,Raptors,TOR,7,C,Central Michigan,USA,,,,,3.3,3.3,0.7,Career,2002,2002,Nate Huffman,85.0,245.0,True
77076,Hughes,Alfredrick,alfredrick-hughes,1610612759,spurs,0,San Antonio,Spurs,SAS,6,F,Loyola-Chicago,USA,1985.0,1.0,14.0,,5.2,1.7,0.9,Career,1985,1985,Alfredrick Hughes,77.0,215.0,False
77077,Hughes,Eddie,eddie-hughes,1610612743,nuggets,0,Denver,Nuggets,DEN,1,G,Colorado State,USA,1982.0,7.0,140.0,,3.1,1.0,1.6,Career,1987,1989,Eddie Hughes,70.0,165.0,False
1630190,Hughes,Elijah,elijah-hughes,1610612757,blazers,0,Portland,Trail Blazers,POR,19,G,Syracuse,USA,2020.0,2.0,39.0,,2.9,1.2,0.5,Career,2020,2021,Elijah Hughes,77.0,215.0,False
77078,Hughes,Kim,kim-hughes,1610612743,nuggets,0,Denver,Nuggets,DEN,3-12-44,C,Wisconsin,USA,1974.0,3.0,45.0,,2.7,4.7,0.9,Career,1976,1980,Kim Hughes,83.0,220.0,False
1716,Hughes,Larry,larry-hughes,1610612764,wizards,0,Washington,Wizards,WAS,0,G,St. Louis,USA,1998.0,1.0,8.0,,14.1,4.2,3.1,Career,1998,2011,Larry Hughes,77.0,185.0,False
1965,Hughes,Rick,rick-hughes,1610612742,mavericks,0,Dallas,Mavericks,DAL,3,F,Thomas More,USA,,,,,3.9,2.3,0.4,Career,1999,1999,Rick Hughes,81.0,235.0,True
1630574,Hukporti,Ariel,ariel-hukporti,1610612752,knicks,0,New York,Knicks,NYK,55,C,MHP Riesen,Germany,2024.0,2.0,58.0,1.0,1.9,2.0,0.4,Season,2024,2024,Ariel Hukporti,83.0,246.0,False
203133,Hummel,Robbie,robbie-hummel,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,4,F,Purdue,USA,2012.0,2.0,58.0,,3.9,2.7,0.5,Career,2013,2014,Robbie Hummel,81.0,219.0,False
77080,Hummer,John,john-hummer,1610612746,clippers,0,LA,Clippers,LAC,42,F,Princeton,USA,1970.0,1.0,15.0,,6.9,5.3,1.7,Career,1970,1975,John Hummer,81.0,230.0,False
2415,Humphrey,Ryan,ryan-humphrey,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,40,F,Notre Dame,USA,2002.0,1.0,19.0,,2.3,2.2,0.2,Career,2002,2004,Ryan Humphrey,80.0,235.0,False
1629353,Humphries,Isaac,isaac-humphries,1610612737,hawks,0,Atlanta,Hawks,ATL,8,C,Kentucky,Australia,2017.0,,,,3.0,2.2,0.0,Career,2018,2018,Isaac Humphries,84.0,260.0,True
77081,Humphries,Jay,jay-humphries,1610612749,bucks,0,Milwaukee,Bucks,MIL,5,G,Colorado,USA,1984.0,1.0,13.0,,11.1,2.5,5.5,Career,1984,1994,Jay Humphries,75.0,185.0,False
2743,Humphries,Kris,kris-humphries,1610612751,nets,0,Brooklyn,Nets,BKN,43,F,Minnesota,USA,2004.0,1.0,14.0,,6.7,5.4,0.7,Career,2004,2016,Kris Humphries,81.0,235.0,False
77082,Hundley,Rod,rod-hundley,1610612747,lakers,0,Los Angeles,Lakers,LAL,33,G,West Virginia,USA,1957.0,1.0,1.0,,8.4,3.3,3.4,Career,1957,1962,Rod Hundley,76.0,185.0,False
1630624,Hunt,Feron,feron-hunt,1610612752,knicks,0,New York,Knicks,NYK,11,F,Southern Methodist,USA,,,,,0.0,0.5,0.5,Career,2021,2021,Feron Hunt,80.0,195.0,True
2599,Hunter,Brandon,brandon-hunter,1610612738,celtics,0,Boston,Celtics,BOS,34,F,Ohio,USA,2003.0,2.0,56.0,,3.3,2.8,0.3,Career,2003,2004,Brandon Hunter,79.0,266.0,False
77083,Hunter,Cedric,cedric-hunter,1610612766,hornets,0,Charlotte,Hornets,CHA,15,F,Kansas,USA,,,,,0.0,0.0,0.0,Career,1991,1991,Cedric Hunter,72.0,180.0,True
201805,Hunter,Chris,chris-hunter,1610612744,warriors,0,Golden State,Warriors,GSW,31,C-F,Michigan,USA,,,,,4.5,2.8,0.6,Career,2008,2009,Chris Hunter,83.0,240.0,True
